what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430796825124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430796874838
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430796875759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430796878619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797219771
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430797219819
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430797221371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797223804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797227908
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430797235149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797235457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797239658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797244942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797246931
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430797246941
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430797248573
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430797249287
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430797253072
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1430797285657
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430797288346
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430797292493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797340607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797688209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430797689527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797691900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797694583
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430797700402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797700963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797703754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797707098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797707592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797707598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797708808
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1430797708814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797711428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797712478
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1430797712489
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430797714067
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1430797714799
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1430797718430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430797745488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798098611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798101223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798102923
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1430798102937
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1430798103992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798105873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798108357
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1430798112614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798112903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798115460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430798122502
