what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426727960405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728047631
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426728049104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728052061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728054717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728062196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728062213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728062218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728063468
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426728063471
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1426728070943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728071292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728074080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728075491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728075892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728075898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728076843
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426728076846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728077647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728079665
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426728079673
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426728080484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728082544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728084733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728086396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728090685
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426728090689
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426728092346
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426728092963
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1426728093899
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/u/ECE385/ece385lab8/trunk/lab8_usb/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1426728099223
error,log,,,"Downloading ELF Process failed",1426728099228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728099230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728103074
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1426728106549
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426728108192
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426728108838
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1426728109733
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426728112555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426728221638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426729973820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426729978343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426729981276
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1426729981685
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426729981867
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1426729982420
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1426729982420
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1426729982420
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1426729982420
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426729982421
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1426729982421
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1426729982429
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1426729982429
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1426729982429
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1426729982429
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1426729982430
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1426729982430
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1426729982430
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1426729982430
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1426729982431
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1426729982431
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1426729982431
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1426729982432
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1426729982432
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1426729982432
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426729982432
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1426729982432
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1426729982432
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426729982432
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1426729982433
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1426729982433
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1426729982433
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1426729982433
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1426729982433
